ensemblID	296732	296733	296734	296898	296899	296900	296901	296902	296903	296904	296905	296906	296907	297045	297046	297047
ENSG00000223972	21	7	52	50	51	46	130	51	63	109	11	20	54	27	57	65
ENSG00000227232	28	107	89	23	87	79	168	117	45	35	61	131	91	70	96	54
ENSG00000278267	26	43	46	67	84	77	47	56	37	11	31	52	68	42	116	49
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	27	5	0	3	45	28	14	5	6	39	41	0	25	7	10	27
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	6103	3230	3556	331	2965	1707	2668	1532	1385	2486	2613	727	2103	724	2070	1173
ENSG00000269981	2503	1339	693	445	3513	1738	1685	1072	1159	629	2659	597	521	603	2087	1408
ENSG00000239906	12	0	0	0	5	6	0	4	4	0	10	5	0	1	0	4
ENSG00000241860	62	8	10	27	209	110	0	15	58	0	124	10	0	35	54	82
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	41	10	10	42	15	95	39	48	24	10	17	0	10	68	15
ENSG00000279457	330	569	516	452	505	685	862	980	264	757	721	856	1167	400	805	735
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	150	61	5	39	157	48	27	14	8	0	21	15	0	28	45	102
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	2	0	0	1	3	1	0	2	0	0	1	2	0	2	0	1
ENSG00000236743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	144	80	56	152	777	279	128	138	197	17	264	59	22	69	225	407
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	37	7	1	3	31	8	12	7	20	20	19	3	10	4	23	28
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	4	1	11	0	0	0	0	0	0	0	1	0
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	454	274	292	185	444	336	459	316	349	617	235	182	108	92	243	223
ENSG00000225630	1968	1740	948	1292	4290	2696	2549	3144	4090	1261	1774	2904	546	2144	7282	4025
ENSG00000276171	2	12	2	0	9	4	17	0	0	20	7	9	0	1	16	7
ENSG00000237973	3410	1446	1231	2029	4713	3278	3259	2514	2482	2029	1394	2083	790	1025	3367	2703
ENSG00000278791	7	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0
ENSG00000229344	1746	752	820	1298	2139	1750	1934	1467	1324	1501	864	778	682	500	1423	1459
ENSG00000240409	1	0	0	8	9	5	0	12	2	1	0	0	0	0	2	0
ENSG00000248527	16838	13783	13527	6601	23140	16379	25840	18959	17743	14424	12189	16130	6687	11273	29424	17177
ENSG00000198744	1040	451	410	1140	1612	1386	1012	962	881	578	757	721	519	575	1314	1487
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224956	7	7	0	10	23	6	1	10	2	2	5	12	7	3	15	5
ENSG00000235373	0	8	0	0	44	16	8	0	3	0	16	1	0	1	0	12
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618	30	20	0	10	183	72	0	9	31	2	42	5	0	10	36	50
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	11	0	0	10	64	8	0	4	12	0	27	4	0	15	13	18
ENSG00000237491	31	4	0	12	36	19	0	17	4	15	16	21	9	9	12	19
ENSG00000230092	0	20	0	6	12	13	18	0	3	2	9	5	14	7	14	5
ENSG00000177757	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000228794	293	323	237	168	581	290	276	237	187	157	211	369	338	384	310	347
ENSG00000225880	43	40	43	32	95	44	38	54	14	18	38	63	48	46	36	37
ENSG00000230368	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0
ENSG00000234711	9	0	0	0	4	0	0	0	0	0	2	2	0	0	8	7
