ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634.10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000188976.10	2801	2950	2246	2024	5189	2826	3810	3122	2141	2560	2049	3144	2509	2369	3514	3321
ENSG00000187961.13	356	530	606	359	989	578	207	449	264	189	489	853	635	401	424	756
ENSG00000277294.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583.10	10	52	42	15	88	34	54	83	5	15	60	83	21	11	63	49
ENSG00000187642.9	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0
ENSG00000272512.1	15	24	0	29	29	12	12	20	3	18	43	8	21	54	45	9
ENSG00000188290.10	180	350	169	264	180	70	64	52	68	86	547	277	276	180	132	145
ENSG00000187608.8	2501	10155	3236	9132	2009	1171	2735	1582	1199	2408	61697	2570	3670	1298	3066	2340
ENSG00000231702.2	0	0	14	49	35	21	10	37	11	0	13	88	55	0	6	8
ENSG00000224969.1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSG00000188157.13	196	465	78	315	301	211	153	157	94	82	1135	161	89	222	363	358
ENSG00000242590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.9	0	11	18	8	2	5	0	0	4	0	8	17	6	7	17	12
ENSG00000273443.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.17	342	882	553	366	1131	580	711	760	487	553	548	1338	925	514	867	868
ENSG00000223823.1	47	14	27	7	21	10	0	17	4	10	14	47	80	11	31	12
ENSG00000207730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1
ENSG00000205231.1	0	7	0	0	0	0	9	0	0	6	0	0	0	0	0	1
ENSG00000162571.13	16	0	0	1	22	3	22	11	6	0	3	4	4	7	10	12
ENSG00000186891.13	435	677	824	224	563	258	418	456	308	345	226	563	1492	126	474	572
ENSG00000186827.10	514	779	1191	91	835	389	494	769	481	405	300	945	1817	166	577	662
ENSG00000078808.16	6466	8765	6607	4570	13714	6793	7895	6453	4717	4901	5954	6048	5941	4659	8014	8500
ENSG00000176022.4	1529	1817	1901	757	1866	869	1423	1223	664	1228	813	1206	1379	767	1221	1104
ENSG00000184163.3	45	84	25	32	23	19	126	43	23	45	16	41	28	15	41	42
ENSG00000260179.1	18	40	4	7	20	2	22	35	7	43	4	14	29	4	7	9
ENSG00000160087.20	3044	3557	3531	1440	4348	2319	3106	2222	1538	2329	2243	2458	3051	1606	2610	2553
ENSG00000230415.1	10	18	16	11	22	12	5	16	15	11	21	32	28	19	27	44
ENSG00000162572.19	221	268	171	128	361	222	357	286	249	268	185	685	175	257	525	319
ENSG00000131584.18	3118	3457	2665	1490	5466	2690	3044	2940	2228	2699	2609	4256	2934	2262	3793	3738
ENSG00000278073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.11	562	684	612	309	917	448	811	641	363	648	380	654	716	335	587	580
ENSG00000127054.18	3819	5467	3791	2246	7129	3811	5146	4327	3033	3844	3196	5296	4527	3031	5409	4627
ENSG00000274153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	5	28	0	5	75	31	0	13	10	5	24	20	4	40	17	39
ENSG00000224051.6	1381	1913	1928	737	2614	1311	2090	1897	1309	1758	1460	1877	2127	1126	2087	1601
ENSG00000169962.4	113	118	55	66	118	80	73	64	88	47	100	115	169	105	116	111
ENSG00000107404.17	906	1794	1705	729	2437	1246	1199	1425	857	760	1178	1676	1960	1037	1315	1746
